Title,Subtitle,Authors,Year,Publisher,Referenced,Versions
Influence of a Large Language Model on Diagnostic Reasoning: A Randomized Clinical Vignette Study,medRxiv,"E Goh, R Gallo, J Hom, E Strong, Y Weng, H Kerman…",2024,medrxiv.org,0,1
[PDF] Using story topics for language model adaptation,,"K Seymore, R Rosenfeld",1997,kilthub.cmu.edu,148,15
Large Language Models in Fire Engineering: An Examination of Technical Questions Against Domain Knowledge,arXiv preprint arXiv:2403.04795,"H Hostetter, MZ Naser, X Huang, J Gales",2024,arxiv.org,0,1
Bitfit: Simple parameter-efficient fine-tuning for transformer-based masked language-models,arXiv preprint arXiv:2106.10199,"EB Zaken, S Ravfogel, Y Goldberg",2021,arxiv.org,570,3
Exploring Large Language Models and Hierarchical Frameworks for Classification of Large Unstructured Legal Documents,European Conference on Information …,"N Prasad, M Boughanem, T Dkaki",2024,Springer,0,1
Multimodal neural language models,… conference on machine …,"R Kiros, R Salakhutdinov…",2014,proceedings.mlr.press,868,18
Aligning Large and Small Language Models via Chain-of-Thought Reasoning,Proceedings of the 18th Conference of the …,"L Ranaldi, A Freitas",2024,aclanthology.org,0,1
A deep language model for software code,arXiv preprint arXiv:1608.02715,"HK Dam, T Tran, T Pham",2016,arxiv.org,131,2
Making pre-trained language models better few-shot learners,arXiv preprint arXiv:2012.15723,"T Gao, A Fisch, D Chen",2020,arxiv.org,1367,10
Temporal action detection using a statistical language model,Proceedings of the IEEE conference on …,"A Richard, J Gall",2016,openaccess.thecvf.com,256,12
Few-Shot Cross-Lingual Transfer for Prompting Large Language Models in Low-Resource Languages,arXiv preprint arXiv:2403.06018,C Toukmaji,2024,arxiv.org,0,1
MedInsight: A Multi-Source Context Augmentation Framework for Generating Patient-Centric Medical Responses using Large Language Models,arXiv preprint arXiv …,"S Neupane, S Mitra, S Mittal, NA Golilarz…",2024,arxiv.org,0,1
Lamda: Language models for dialog applications,arXiv preprint arXiv …,"R Thoppilan, D De Freitas, J Hall, N Shazeer…",2022,arxiv.org,1009,7
Guiding Clinical Reasoning with Large Language Models via Knowledge Seeds,arXiv preprint arXiv:2403.06609,"J Wu, X Wu, J Yang",2024,arxiv.org,0,1
An analysis of incorporating an external language model into a sequence-to-sequence model,"… ,  Speech and Signal …","A Kannan, Y Wu, P Nguyen, TN Sainath…",2018,ieeexplore.ieee.org,261,7
Towards Comprehensive Vietnamese Retrieval-Augmented Generation and Large Language Models,arXiv preprint arXiv …,"NQ Duc, LH Son, ND Nhan, NDN Minh…",2024,arxiv.org,0,1
Fine-grainedly Synthesize Streaming Data Based On Large Language Models With Graph Structure Understanding For Data Sparsity,arXiv preprint arXiv:2403.06139,"X Zhang, L Zhang, D Zhou, G Xu",2024,arxiv.org,0,1
Flaubert: Unsupervised language model pre-training for french,arXiv preprint arXiv …,"H Le, L Vial, J Frej, V Segonne, M Coavoux…",2019,arxiv.org,464,9
"[HTML] ChatGPT, Llama, can you write my report? An experiment on assisted digital forensics reports written using (Local) Large Language Models",Forensic Science International: Digital …,"G Michelet, F Breitinger",2024,Elsevier,0,1
A bit of progress in language modeling,Computer Speech & Language,JT Goodman,2001,Elsevier,886,27
Autoprompt: Eliciting knowledge from language models with automatically generated prompts,arXiv preprint arXiv …,"T Shin, Y Razeghi, RL Logan IV, E Wallace…",2020,arxiv.org,1249,9
Cross-lingual language model pretraining,arXiv preprint arXiv:1901.07291,"G Lample, A Conneau",2019,arxiv.org,1489,2
Code completion with statistical language models,… conference on programming language …,"V Raychev, M Vechev, E Yahav",2014,dl.acm.org,766,10
Automatic Interactive Evaluation for Large Language Models with State Aware Patient Simulator,arXiv preprint arXiv …,"Y Liao, Y Meng, Y Wang, H Liu, Y Wang…",2024,arxiv.org,0,1
Cold fusion: Training seq2seq models together with language models,arXiv preprint arXiv:1708.06426,"A Sriram, H Jun, S Satheesh, A Coates",2017,arxiv.org,327,11
A neural probabilistic language model,Advances in neural …,"Y Bengio, R Ducharme…",2000,proceedings.neurips.cc,11092,63
CURATRON: Complete Robust Preference Data for Robust Alignment of Large Language Models,arXiv preprint arXiv:2403.02745,"ST Nguyen, NU Naresh, T Tulabandhula",2024,arxiv.org,0,1
Human-Large Language Model Interaction: The dawn of a new era or the end of it all?,Companion of the 2024 …,"D Hernández García, M Romeo, C Dondrup…",2024,dl.acm.org,0,1
OffLanDat: A Community Based Implicit Offensive Language Dataset Generated by Large Language Model Through Prompt Engineering,arXiv preprint arXiv …,"A Das, M Rahgouy, D Feng, Z Zhang…",2024,arxiv.org,0,1
"Large Language Models and Generative AI, Oh My!",Computer,M Zyda,2024,ieeexplore.ieee.org,0,1
Calibrate before use: Improving few-shot performance of language models,… on machine learning,"Z Zhao, E Wallace, S Feng, D Klein…",2021,proceedings.mlr.press,810,6
Discriminative n-gram language modeling,Computer Speech & Language,"B Roark, M Saraclar, M Collins",2007,Elsevier,238,19
Unlimited vocabulary speech recognition with morph language models applied to Finnish,… Speech & Language,"T Hirsimäki, M Creutz, V Siivola, M Kurimo…",2006,Elsevier,188,16
[PDF] Supervised text-based geolocation using language models on an adaptive grid,… in natural language …,"S Roller, M Speriosu, S Rallapalli, B Wing…",2012,aclanthology.org,282,8
Breaking the softmax bottleneck: A high-rank RNN language model,arXiv preprint arXiv …,"Z Yang, Z Dai, R Salakhutdinov, WW Cohen",2017,arxiv.org,388,4
Tip-adapter: Training-free clip-adapter for better vision-language modeling,arXiv preprint arXiv …,"R Zhang, R Fang, W Zhang, P Gao, K Li, J Dai…",2021,arxiv.org,227,2
InteraRec: Interactive Recommendations Using Multimodal Large Language Models,arXiv preprint arXiv:2403.00822,"SR Karra, T Tulabandhula",2024,arxiv.org,0,1
Chaining text-to-image and large language model: A novel approach for generating personalized e-commerce banners,arXiv preprint arXiv …,"S Vashishtha, A Prakash, L Morishetti, K Nag…",2024,arxiv.org,0,1
Vision-language models for vision tasks: A survey,IEEE Transactions on Pattern …,"J Zhang, J Huang, S Jin, S Lu",2024,ieeexplore.ieee.org,68,6
Towards Intent-Based Network Management: Large Language Models for Intent Extraction in 5G Core Networks,arXiv preprint arXiv:2403.02238,"DM Manias, A Chouman, A Shami",2024,arxiv.org,0,1
[PDF] Exploring Task Decomposition for Assisting Large Language Models in Counter-argument Logical Structure Analysis,… of the Natural Language …,"W Wang, S Naito, P Reisert, N Inoue…",2024,anlp.jp,1,1
[HTML] Lost in the middle: How language models use long contexts,Transactions of the …,"NF Liu, K Lin, J Hewitt, A Paranjape…",2024,direct.mit.edu,258,8
"[HTML] … Transformer-Empowered Healthcare Conversations: Current Trends, Challenges, and Future Directions in Large Language Model-Enabled Medical Chatbots",BioMedInformatics,"JCL Chow, V Wong, K Li",2024,mdpi.com,0,1
How much knowledge can you pack into the parameters of a language model?,arXiv preprint arXiv:2002.08910,"A Roberts, C Raffel, N Shazeer",2020,arxiv.org,670,10
Psychological Assessments with Large Language Models: A Privacy-Focused and Cost-Effective Approach,arXiv preprint arXiv:2402.03435,S Blanco,2024,arxiv.org,0,1
LM4OPT: Unveiling the Potential of Large Language Models in Formulating Mathematical Optimization Problems,arXiv preprint arXiv:2403.01342,"T Ahmed, S Choudhury",2024,arxiv.org,0,1
[PDF] Hierarchical probabilistic neural network language model,International workshop on artificial …,"F Morin, Y Bengio",2005,proceedings.mlr.press,1363,12
Emotional Manipulation Through Prompt Engineering Amplifies Disinformation Generation in AI Large Language Models,arXiv preprint arXiv …,"R Vinay, G Spitale, N Biller",2024,arxiv.org,0,1
SVD-LLM: Truncation-aware Singular Value Decomposition for Large Language Model Compression,arXiv preprint arXiv:2403.07378,"X Wang, Y Zheng, Z Wan, M Zhang",2024,arxiv.org,0,1
From English to ASIC: Hardware Implementation with Large Language Model,arXiv preprint arXiv:2403.07039,"E Goh, M Xiang, I Wey, TH Teo",2024,arxiv.org,0,1
Video (language) modeling: a baseline for generative models of natural videos,arXiv preprint arXiv …,"MA Ranzato, A Szlam, J Bruna, M Mathieu…",2014,arxiv.org,511,4
RLingua: Improving Reinforcement Learning Sample Efficiency in Robotic Manipulations With Large Language Models,arXiv preprint arXiv:2403.06420,"L Chen, Y Lei, S Jin, Y Zhang, L Zhang",2024,arxiv.org,0,1
Statistical language model adaptation: review and perspectives,Speech communication,JR Bellegarda,2004,Elsevier,439,9
CKERC: Joint Large Language Models with Commonsense Knowledge for Emotion Recognition in Conversation,arXiv preprint arXiv:2403.07260,Y Fu,2024,arxiv.org,0,1
Pengi: An audio language model for audio tasks,Advances in Neural …,"S Deshmukh, B Elizalde, R Singh…",2023,proceedings.neurips.cc,32,4
"Lm-nav: Robotic navigation with large pre-trained models of language, vision, and action",Conference on robot …,"D Shah, B Osiński, S Levine",2023,proceedings.mlr.press,179,5
Neural codec language models are zero-shot text to speech synthesizers,arXiv preprint arXiv …,"C Wang, S Chen, Y Wu, Z Zhang, L Zhou, S Liu…",2023,arxiv.org,225,3
Trigger-based language models: A maximum entropy approach,1993 IEEE International …,"R Lau, R Rosenfeld, S Roukos",1993,ieeexplore.ieee.org,297,6
Feature Based Text Search Engine Mitigating Data Diversity Problem Using Pre-Trained Large Language Model for Fast Deployment Services,IEEE Access,"Y Jeong, J Yang, IH Choi, J Lee",2024,ieeexplore.ieee.org,0,1
Quantifying contamination in evaluating code generation capabilities of language models,arXiv preprint arXiv:2403.04811,"M Riddell, A Ni, A Cohan",2024,arxiv.org,1,2
[PDF] Adaptive statistical language modeling: A maximum entropy approach,Diss. IBM,R Rosenfeld,2005,researchgate.net,578,24
FineMath: A Fine-Grained Mathematical Evaluation Benchmark for Chinese Large Language Models,arXiv preprint arXiv:2403.07747,"Y Liu, R Jin, L Shi, Z Yao, D Xiong",2024,arxiv.org,0,1
On generative spoken language modeling from raw audio,Transactions of the …,"K Lakhotia, E Kharitonov, WN Hsu, Y Adi…",2021,direct.mit.edu,227,12
Welcome Your New AI Teammate: On Safety Analysis by Leashing Large Language Models,arXiv preprint arXiv …,"A Nouri, B Cabrero",2024,arxiv.org,0,1
How Can We Know When Language Models Know? On the Calibration of Language Models for Question Answering,Transactions of the Association …,"Z Jiang, J Araki, H Ding, G Neubig",2021,direct.mit.edu,215,12
Character-aware neural language models,… of the AAAI conference on artificial …,"Y Kim, Y Jernite, D Sontag, A Rush",2016,ojs.aaai.org,2095,18
A cache-based natural language model for speech recognition,IEEE transactions on pattern analysis and …,"R Kuhn, R De Mori",1990,ieeexplore.ieee.org,803,15
Towards Automated End-to-End Health Misinformation Free Search with a Large Language Model,European Conference on Information Retrieval,"R Pradeep, J Lin",2024,Springer,0,1
"Red teaming language models to reduce harms: Methods, scaling behaviors, and lessons learned",arXiv preprint arXiv …,"D Ganguli, L Lovitt, J Kernion, A Askell, Y Bai…",2022,arxiv.org,191,2
Transformer-xl: Attentive language models beyond a fixed-length context,arXiv preprint arXiv …,"Z Dai, Z Yang, Y Yang, J Carbonell, QV Le…",2019,arxiv.org,3771,12
Simvlm: Simple visual language model pretraining with weak supervision,arXiv preprint arXiv …,"Z Wang, J Yu, AW Yu, Z Dai, Y Tsvetkov…",2021,arxiv.org,616,4
Unsupervised corpus aware language model pre-training for dense passage retrieval,arXiv preprint arXiv:2108.05540,"L Gao, J Callan",2021,arxiv.org,244,7
Unsupervised domain clusters in pretrained language models,arXiv preprint arXiv:2004.02105,"R Aharoni, Y Goldberg",2020,arxiv.org,223,6
Rich Semantic Knowledge Enhanced Large Language Models for Few-shot Chinese Spell Checking,arXiv preprint arXiv:2403.08492,"M Dong, Y Chen, M Zhang, H Sun, T He",2024,arxiv.org,0,1
Toward a unified approach to statistical language modeling for Chinese,ACM Transactions on Asian Language …,"J Gao, J Goodman, M Li, KF Lee",2002,dl.acm.org,206,6
Knowledge-grounded dialogue generation with pre-trained language models,arXiv preprint arXiv …,"X Zhao, W Wu, C Xu, C Tao, D Zhao, R Yan",2020,arxiv.org,189,9
A latent variable recurrent neural network for discourse relation language models,arXiv preprint arXiv:1603.01913,"Y Ji, G Haffari, J Eisenstein",2016,arxiv.org,168,5
Structured language modeling,Computer Speech & Language,"C Chelba, F Jelinek",2000,Elsevier,409,17
Generative language models and automated influence operations: Emerging threats and potential mitigations,arXiv preprint arXiv …,"JA Goldstein, G Sastry, M Musser, R DiResta…",2023,arxiv.org,163,3
[PDF] Indri: A language model-based search engine for complex queries,Proceedings of the …,"T Strohman, D Metzler, H Turtle…",2005,ciir.cs.umass.edu,704,5
[PDF] Recurrent Neural Network Based Language Modeling in Meeting Recognition.,Interspeech,"S Kombrink, T Mikolov, M Karafiát, L Burget",2011,academia.edu,252,13
Prompting visual-language models for efficient video understanding,European Conference on …,"C Ju, T Han, K Zheng, Y Zhang, W Xie",2022,Springer,223,6
Extensions of recurrent neural network language model,"… on acoustics,  speech …","T Mikolov, S Kombrink, L Burget…",2011,ieeexplore.ieee.org,1635,7
A Comprehensive Evaluation of Inductive Reasoning Capabilities and Problem Solving in Large Language Models,Findings of the Association for …,"C Bowen, R Sætre, Y Miyao",2024,aclanthology.org,0,1
Pqlm-multilingual decentralized portable quantum language model,2023 …,"SS Li, X Zhang, S Zhou, H Shu, R Liang…",2023,ieeexplore.ieee.org,8,2
CoGenesis: A Framework Collaborating Large and Small Language Models for Secure Context-Aware Instruction Following,arXiv preprint arXiv …,"K Zhang, J Wang, E Hua, B Qi, N Ding…",2024,arxiv.org,0,1
Emerging Synergies Between Large Language Models and Machine Learning in Ecommerce Recommendations,arXiv preprint arXiv:2403.02760,"X Xu, Z Xu, Z Ling, Z Jin, SQ Du",2024,arxiv.org,0,1
My Learnings from Allowing Large Language Models in Introductory Computer Science Classes,Proceedings of the 55th ACM Technical Symposium on …,R Bhalerao,2024,dl.acm.org,0,1
Photorealistic text-to-image diffusion models with deep language understanding,Advances in neural …,"C Saharia, W Chan, S Saxena, L Li…",2022,proceedings.neurips.cc,2936,9
NetSurfP-3.0: accurate and fast prediction of protein structural features by protein language models and deep learning,Nucleic acids …,"MH Høie, EN Kiehl, B Petersen, M Nielsen…",2022,academic.oup.com,93,10
Leveraging Weakly Annotated Data for Hate Speech Detection in Code-Mixed Hinglish: A Feasibility-Driven Transfer Learning Approach with Large Language Models,arXiv preprint arXiv:2403.02121,"S Yadav, A Kaushik, K McDaid",2024,arxiv.org,0,1
KEBench: A Benchmark on Knowledge Editing for Large Vision-Language Models,arXiv preprint arXiv …,"H Huang, H Zhong, Q Liu, S Wu, L Wang…",2024,arxiv.org,0,1
Creating Virtual Patients using Robots and Large Language Models: A Preliminary Study with Medical Students,Companion of the 2024 ACM/IEEE …,"A Borg, I Parodis, G Skantze",2024,dl.acm.org,0,1
"Comparison of large language models in management advice for melanoma: Google's AI BARD, BingAI and ChatGPT",Skin Health and …,"X Mu, B Lim, I Seth, Y Xie, J Cevik…",2024,Wiley Online Library,0,1
Predicting reading difficulty with statistical language models,Journal of the american society …,"K Collins‐Thompson, J Callan",2005,Wiley Online Library,234,9
[PDF] Discriminative language modeling with conditional random fields and the perceptron algorithm,Proceedings of the 42nd …,"B Roark, M Saraclar, M Collins…",2004,aclanthology.org,201,17
Analyzing the structure of attention in a transformer language model,arXiv preprint arXiv:1906.04284,"J Vig, Y Belinkov",2019,arxiv.org,304,9
Generation of guideline-based clinical decision trees in oncology using large language models,medRxiv,"BY Miao, E Rodriguez Almaraz, A Ashraf Ganjouei…",2024,medrxiv.org,0,1
Empower sequence labeling with task-aware neural language model,Proceedings of the AAAI …,"L Liu, J Shang, X Ren, F Xu, H Gui, J Peng…",2018,ojs.aaai.org,423,12
SheetAgent: A Generalist Agent for Spreadsheet Reasoning and Manipulation via Large Language Models,arXiv preprint arXiv …,"Y Chen, Y Yuan, Z Zhang, Y Zheng, J Liu, F Ni…",2024,arxiv.org,0,1
Data noising as smoothing in neural network language models,arXiv preprint arXiv …,"Z Xie, SI Wang, J Li, D Lévy, A Nie, D Jurafsky…",2017,arxiv.org,279,8
Cross-modal concept learning and inference for vision-language models,Neurocomputing,"Y Zhang, C Zhang, Y Tang, Z He",2024,Elsevier,4,3
From simple associations to the building blocks of language: Modeling meaning in memory with the HAL model,"Behavior Research Methods,  Instruments,  & …",C Burgess,1998,Springer,234,5
A systematic assessment of syntactic generalization in neural language models,arXiv preprint arXiv …,"J Hu, J Gauthier, P Qian, E Wilcox, RP Levy",2020,arxiv.org,196,5
Elephants Never Forget: Testing Language Models for Memorization of Tabular Data,arXiv preprint arXiv:2403.06644,"S Bordt, H Nori, R Caruana",2024,arxiv.org,2,2
Emoticon smoothed language models for twitter sentiment analysis,Proceedings of the AAAI Conference on Artificial …,"KL Liu, WJ Li, M Guo",2012,ojs.aaai.org,348,12
"Do as i can, not as i say: Grounding language in robotic affordances",arXiv preprint arXiv …,"M Ahn, A Brohan, N Brown, Y Chebotar…",2022,arxiv.org,798,2
Algorithmic progress in language models,arXiv preprint arXiv …,"A Ho, T Besiroglu, E Erdil, D Owen, R Rahman…",2024,arxiv.org,0,1
HaluEval-Wild: Evaluating Hallucinations of Language Models in the Wild,arXiv preprint arXiv:2403.04307,"Z Zhu, Z Sun, Y Yang",2024,arxiv.org,0,1
A Generalizable Architecture for Explaining Robot Failures Using Behavior Trees and Large Language Models,Companion of the 2024 …,"C Tagliamonte, D Maccaline, G LeMasurier…",2024,dl.acm.org,0,1
Unified language model pre-training for natural language understanding and generation,Advances in neural …,"L Dong, N Yang, W Wang, F Wei…",2019,proceedings.neurips.cc,1545,12
On the sentence embeddings from pre-trained language models,arXiv preprint arXiv:2011.05864,"B Li, H Zhou, J He, M Wang, Y Yang, L Li",2020,arxiv.org,516,9
[HTML] A survey on the application of recurrent neural networks to statistical language modeling,Computer Speech & Language,"W De Mulder, S Bethard, MF Moens",2015,Elsevier,352,10
Preserving privacy through dememorization: An unlearning technique for mitigating memorization risks in language models,… Methods in Natural Language …,"AM Kassem, O Mahmoud, S Saad",2023,openreview.net,1,1
"Challenges in information retrieval and language modeling: report of a workshop held at the center for intelligent information retrieval, university of massachusetts …",ACM SIGIR Forum,"J Allan, J Aslam, N Belkin, C Buckley, J Callan…",2003,dl.acm.org,334,21
Workshop on Large Language Models for Agents,ICLR 2024 …,"X Chen, X Tang, D Jin, D Hazarika, D Fried…",2024,openreview.net,0,1
Pretrained language models for text generation: A survey,arXiv preprint arXiv:2201.05273,"J Li, T Tang, WX Zhao, JY Nie, JR Wen",2022,arxiv.org,196,6
Augmenting naive bayes classifiers with statistical language models,Information Retrieval,"F Peng, D Schuurmans, S Wang",2004,Springer,385,18
LLM-Assisted Light: Leveraging Large Language Model Capabilities for Human-Mimetic Traffic Signal Control in Complex Urban Environments,arXiv preprint arXiv …,"M Wang, A Pang, Y Kan, MO Pun, CS Chen…",2024,arxiv.org,0,1
WhisBERT: Multimodal Text-Audio Language Modeling on 100M Words,arXiv preprint arXiv …,"L Wolf, G Tuckute, K Kotar, E Hosseini, T Regev…",2023,arxiv.org,2,3
CharBERT: character-aware pre-trained language model,arXiv preprint arXiv:2011.01513,"W Ma, Y Cui, C Si, T Liu, S Wang, G Hu",2020,arxiv.org,89,6
Winoground: Probing vision and language models for visio-linguistic compositionality,Proceedings of the …,"T Thrush, R Jiang, M Bartolo, A Singh…",2022,openaccess.thecvf.com,203,7
[PDF] Structured language models for statistical machine translation,"PhD The¬ sis,  Pittsburgh,  USA",Y Zhang,2009,Citeseer,18,3
"Negated and misprimed probes for pretrained language models: Birds can talk, but cannot fly",arXiv preprint arXiv:1911.03343,"N Kassner, H Schütze",2019,arxiv.org,283,7
Accessible Russian Large Language Models: Open-Source Models and Instructive Datasets for Commercial Applications,Doklady Mathematics,"DP Kosenko, YM Kuratov, DR Zharikova",2024,Springer,0,1
Graph-based statistical language model for code,2015 IEEE/ACM 37th IEEE …,"AT Nguyen, TN Nguyen",2015,ieeexplore.ieee.org,260,6
A hierarchical Dirichlet language model,Natural language engineering,"DJC MacKay, LCB Peto",1995,cambridge.org,426,20
TaskCLIP: Extend Large Vision-Language Model for Task Oriented Object Detection,arXiv preprint arXiv …,"H Chen, W Huang, Y Ni, S Yun, F Wen…",2024,arxiv.org,0,1
Indic-transformers: An analysis of transformer language models for indian languages,arXiv preprint arXiv …,"K Jain, A Deshpande, K Shridhar, F Laumann…",2020,arxiv.org,33,4
Enhancing protein language model with structure-based encoder and pre-training,Machine …,"Z Zhang, M Xu, A Lozano…",2023,openreview.net,12,2
Using a statistical language model to improve the performance of an HMM-based cursive handwriting recognition system,International journal of Pattern Recognition and …,"UV Marti, H Bunke",2001,World Scientific,592,10
Conversational question reformulation via sequence-to-sequence architectures and pretrained language models,arXiv preprint arXiv …,"SC Lin, JH Yang, R Nogueira, MF Tsai…",2020,arxiv.org,61,3
[PDF] Adaptive language modeling using minimum discriminant estimation,… Natural Language …,"SA Della Pietra, VJ Della Pietra…",1992,aclanthology.org,180,13
Modeling meets Large Language Models,Modellierung 2024 Satellite Events,"M Forell, S Schüler",2024,dl.gi.de,0,1
Evaluation of Hallucination and Robustness for Large Language Models,2023 IEEE 23rd …,"R Hu, J Zhong, M Ding, Z Ma…",2023,ieeexplore.ieee.org,0,1
Advances in reasoning by prompting large language models: A survey,Cybernetics and Intelligence,"R Hong, X Pang, C Zhang",2024,ieeexplore.ieee.org,0,1
[PDF] SRILM-an extensible language modeling toolkit.,Interspeech,A Stolcke,2002,sri.com,5808,22
Emerging cross-lingual structure in pretrained language models,arXiv preprint arXiv …,"S Wu, A Conneau, H Li, L Zettlemoyer…",2019,arxiv.org,237,8
Under the hood: Using diagnostic classifiers to investigate and improve how language models track agreement information,arXiv preprint arXiv …,"M Giulianelli, J Harding, F Mohnert, D Hupkes…",2018,arxiv.org,162,6
What Comes Next for Large Language Models in Medicine?,Journal of Electronic Resources in Medical Libraries,G Laynor,2024,Taylor & Francis,0,1
[PDF] A maximum entropy approach to adaptive statistical language modelling,Computer speech and language,R Rosenfeld,1996,cs.cmu.edu,1072,21
Reply to “Assessing the diagnostic performance of large language models with European Diploma in Musculoskeletal Radiology (EDiMSK) examination sample …,Japanese Journal of Radiology,"A Harigai, Y Toyama, K Takase",2024,Springer,0,1
Deep entity matching with pre-trained language models,arXiv preprint arXiv:2004.00584,"Y Li, J Li, Y Suhara, AH Doan, WC Tan",2020,arxiv.org,293,9
Enhancing Code Tracing Question Generation with Refined Prompts in Large Language Models,Proceedings of the 55th ACM …,"AX Fan, RA Hendrawan, Y Shi, Q Ma",2024,dl.acm.org,0,1
A study of smoothing methods for language models applied to ad hoc information retrieval,ACM Sigir Forum,"C Zhai, J Lafferty",2017,dl.acm.org,1991,28
Combining the language model and inference network approaches to retrieval,Information processing & management,"D Metzler, WB Croft",2004,Elsevier,368,8
[PDF] Morphologically motivated language models in speech recognition,… Reasoning (AKRR'05 …,"T Hirsimäki, MJP Creutz, V Siivola…",2005,researchportal.helsinki.fi,27,12
[PDF] Language model information retrieval with document expansion,… of the Human Language …,"T Tao, X Wang, Q Mei, CX Zhai",2006,aclanthology.org,162,16
[PDF] Comparing the Performance of Popular Large Language Models on the National Board of Medical Examiners Sample Questions,Cureus,"A Abbas, MS Rehman, SS Rehman",2024,cureus.com,0,1
Smaller Language Models are Better Zero-shot Machine-Generated Text Detectors,Proceedings of the …,"N Mireshghallah, J Mattern, S Gao…",2024,aclanthology.org,0,1
[HTML] Efficient evolution of human antibodies from general protein language models,Nature …,"BL Hie, VR Shanker, D Xu, TUJ Bruun…",2024,nature.com,113,12
[PDF] A one pass decoder design for large vocabulary recognition,Human Language …,"JJ Odell, V Valtchev, PC Woodland…",1994,aclanthology.org,210,8
ImgTrojan: Jailbreaking Vision-Language Models with ONE Image,arXiv preprint arXiv:2403.02910,"X Tao, S Zhong, L Li, Q Liu, L Kong",2024,arxiv.org,0,1
[PDF] Large Language Models in Dutch Healthcare,,F Filippini,2024,studenttheses.uu.nl,0,1
ArgMed-Agents: Explainable Clinical Decision Reasoning with Large Language Models via Argumentation Schemes,arXiv preprint arXiv:2403.06294,"S Hong, L Xiao, X Zhang, J Chen",2024,arxiv.org,0,1
[HTML] Cpt: Colorful prompt tuning for pre-trained vision-language models,AI Open,"Y Yao, A Zhang, Z Zhang, Z Liu, TS Chua, M Sun",2024,Elsevier,177,4
Teach LLMs to Phish: Stealing Private Information from Language Models,arXiv preprint arXiv …,"A Panda, CA Choquette",2024,arxiv.org,0,1
Leveraging Chat-Based Large Vision Language Models for Multimodal Out-Of-Context Detection,arXiv preprint arXiv …,"F Shalabi, H Felouat, HH Nguyen, I Echizen",2024,arxiv.org,0,1
Placing language in an integrated understanding system: Next steps toward human-level performance in neural language models,Proceedings of the …,"JL McClelland, F Hill, M Rudolph…",2020,National Acad Sciences,89,12
[HTML] The TrollLabs Open hackathon dataset: Generative AI and large language models for prototyping in Engineering Design,Data in Brief,"DN Ege, HH Øvrebø, V Stubberud, MF Berg, C Elverum…",2024,Elsevier,0,1
Mpnet: Masked and permuted pre-training for language understanding,Advances in neural …,"K Song, X Tan, T Qin, J Lu…",2020,proceedings.neurips.cc,718,7
"Listen, attend and spell: A neural network for large vocabulary conversational speech recognition",2016 IEEE international …,"W Chan, N Jaitly, Q Le, O Vinyals",2016,ieeexplore.ieee.org,2612,8
"Sharp nearby, fuzzy far away: How neural language models use context",arXiv preprint arXiv:1805.04623,"U Khandelwal, H He, P Qi, D Jurafsky",2018,arxiv.org,352,11
"Hello, it's GPT-2--how can I help you? towards the use of pretrained language models for task-oriented dialogue systems",arXiv preprint arXiv:1907.05774,"P Budzianowski, I Vulić",2019,arxiv.org,345,7
[PDF] Exploring Open Information Extraction for Portuguese Using Large Language Models,Proceedings of the 16th International …,"B Cabral, D Claro, M Souza",2024,aclanthology.org,0,1
"Fine-tuning pretrained language models: Weight initializations, data orders, and early stopping",arXiv preprint arXiv …,"J Dodge, G Ilharco, R Schwartz, A Farhadi…",2020,arxiv.org,506,3
Temporal analysis of language through neural language models,arXiv preprint arXiv …,"Y Kim, YI Chiu, K Hanaki, D Hegde, S Petrov",2014,arxiv.org,405,10
"Evaluating Large Language Model Code Generation as an Autograding Mechanism for"" Explain in Plain English"" Questions",Proceedings of the 55th ACM Technical …,"DH Smith IV, C Zilles",2024,dl.acm.org,0,1
A qualitative evaluation of language models on automatic question-answering for covid-19,Proceedings of the 11th ACM international …,"D Oniani, Y Wang",2020,dl.acm.org,43,11
Dial-insight: Fine-tuning Large Language Models with High-Quality Domain-Specific Data Preventing Capability Collapse,arXiv preprint arXiv …,"J Sun, C Mei, L Wei, K Zheng, N Liu, M Cui…",2024,arxiv.org,0,1
Dynamic pretraining of vision-language models,ICLR 2023 Workshop on …,"AJ Piergiovanni, W Kuo, W Li…",2023,openreview.net,3,2
Text mining and probabilistic language modeling for online review spam detection,ACM Transactions on …,"RYK Lau, SY Liao, RCW Kwok, K Xu, Y Xia…",2012,dl.acm.org,309,5
The performance of large language models in intercollegiate Membership of the Royal College of Surgeons examination,The Annals of The Royal …,"J Chan, T Dong, GD Angelini",2024,publishing.rcseng.ac.uk,0,1
[PDF] Blocking Blog Spam with Language Model Disagreement.,AIRWeb,"G Mishne, D Carmel, R Lempel",2005,ra.ethz.ch,381,22
Tying word vectors and word classifiers: A loss framework for language modeling,arXiv preprint arXiv:1611.01462,"H Inan, K Khosravi, R Socher",2016,arxiv.org,416,5
Pali: A jointly-scaled multilingual language-image model,arXiv preprint arXiv …,"X Chen, X Wang, S Changpinyo…",2022,arxiv.org,362,5
Beyond Traditional Teaching: Large Language Models as Simulated Teaching Assistants in Computer Science,Proceedings of the 55th ACM Technical Symposium on …,"M Liu, F M'Hiri",2024,dl.acm.org,0,1
Can language models employ the socratic method? experiments with code debugging,Proceedings of the 55th …,E Al,2024,dl.acm.org,1,2
